ymd,cfs,height_f,rank,ri,prob
1952-03-11,303,3.82,53,1.3018867924528301,0.7681159420289856
1953-06-10,282,3.65,59,1.1694915254237288,0.855072463768116
1954-04-25,310,3.83,51,1.3529411764705883,0.7391304347826086
1954-10-10,291,3.72,57,1.2105263157894737,0.8260869565217391
1956-05-10,175,2.89,66,1.0454545454545454,0.9565217391304348
1957-07-13,286,3.72,58,1.1896551724137931,0.8405797101449275
1958-02-28,210,3.16,65,1.0615384615384615,0.9420289855072463
1959-02-23,258,3.51,62,1.1129032258064515,0.8985507246376813
1960-03-30,340,3.88,49,1.4081632653061225,0.7101449275362319
1961-09-25,327,3.12,50,1.38,0.7246376811594204
1962-03-19,512,3.51,35,1.9714285714285715,0.5072463768115941
1963-04-30,171,2.56,67,1.0298507462686568,0.9710144927536231
1964-07-18,263,3.35,60,1.15,0.8695652173913044
1966-02-10,476,4.14,38,1.8157894736842106,0.5507246376811594
1967-06-10,797,5.29,11,6.2727272727272725,0.15942028985507248
1968-08-17,298,3.27,54,1.2777777777777777,0.782608695652174
1969-06-09,247,2.99,63,1.0952380952380953,0.9130434782608695
1970-06-02,560,4.38,29,2.3793103448275863,0.42028985507246375
1971-02-19,296,3.18,55,1.2545454545454546,0.7971014492753623
1972-09-18,294,3.06,56,1.2321428571428572,0.8115942028985507
1973-04-22,896,5.45,7,9.857142857142858,0.10144927536231883
1974-05-22,552,4.13,31.5,2.1904761904761907,0.45652173913043476
1975-06-17,488,3.87,37,1.864864864864865,0.536231884057971
1976-03-05,490,3.88,36,1.9166666666666667,0.5217391304347826
1977-03-29,117,2.1,68,1.0147058823529411,0.9855072463768116
1978-07-03,571,4.21,28,2.4642857142857144,0.40579710144927533
1979-03-19,765,4.97,14,4.928571428571429,0.20289855072463767
1981-04-23,304,3.25,52,1.3269230769230769,0.7536231884057971
1982-03-13,537,4.61,34,2.0294117647058822,0.4927536231884058
1982-12-03,761,5.67,15,4.6,0.2173913043478261
1984-02-13,394,3.86,46,1.5,0.6666666666666666
1985-03-04,633,5.08,24,2.875,0.34782608695652173
1985-11-20,719,5.48,16,4.3125,0.2318840579710145
1987-08-27,625,5.09,25,2.76,0.3623188405797102
1988-04-06,441,4.28,40,1.725,0.5797101449275363
1989-08-05,700,5.79,17,4.0588235294117645,0.2463768115942029
1990-08-21,669,5.27,21,3.2857142857142856,0.30434782608695654
1990-11-28,399,4.08,44,1.5681818181818181,0.6376811594202899
1991-11-30,212,3.07,64,1.078125,0.927536231884058
1993-07-19,691,5.39,20,3.45,0.2898550724637681
1994-02-20,779,5.74,13,5.3076923076923075,0.18840579710144928
1995-04-27,580,4.92,27,2.5555555555555554,0.391304347826087
1996-05-29,437,4.15,41,1.6829268292682926,0.5942028985507246
1997-02-21,1180,6.78,4,17.25,0.057971014492753624
1998-05-08,400,4.29,43,1.6046511627906976,0.6231884057971014
1999-04-23,882,6.13,8,8.625,0.11594202898550725
2000-04-21,555,4.33,30,2.3,0.4347826086956522
2001-02-09,600,4.59,26,2.6538461538461537,0.37681159420289856
2001-10-14,637,4.67,22,3.1363636363636362,0.31884057971014496
2003-05-11,552,4.3,31.5,2.1904761904761907,0.45652173913043476
2004-03-06,367,3.54,47,1.4680851063829787,0.6811594202898551
2005-01-14,407,3.68,42,1.6428571428571428,0.6086956521739131
2006-03-13,461,3.92,39,1.7692307692307692,0.5652173913043479
2007-08-24,1120,5.9,6,11.5,0.08695652173913043
2008-09-13,1560,7.69,1,69,0.014492753623188406
2008-12-28,1170,6.55,5,13.8,0.07246376811594203
2010-05-13,864,5.89,9,7.666666666666667,0.13043478260869565
2011-05-29,634,5.12,23,3,0.3333333333333333
2011-12-15,262,3.61,61,1.1311475409836065,0.8840579710144928
2013-04-18,1430,7.42,2,34.5,0.028985507246376812
2014-07-01,543,4.8,33,2.090909090909091,0.4782608695652174
2015-06-16,784,4.94,12,5.75,0.17391304347826086
2015-12-14,357,3.19,48,1.4375,0.6956521739130435
2017-05-01,699,4.84,18.5,3.72972972972973,0.2681159420289855
2018-05-31,837,5.37,10,6.9,0.14492753623188406
2019-05-01,699,4.67,18.5,3.72972972972973,0.2681159420289855
2020-05-15,1220,6.61,3,23,0.043478260869565216
2021-06-27,395,3.41,45,1.5333333333333334,0.6521739130434783
